order_id,order_date,order_type,customer_id,channel,city,region,category,sub_category,sku_id,product,quantity,unit_price,discount_pct,gross_sales,discount_amount,net_sales,gst_rate,gst_amount,invoice_total,unit_cost,cogs,gross_profit,payment_mode
ORD202500806,05-01-2025,Sale,CUST00938,Store,Gurugram,North,Womenswear,Leggings & Bottoms,SKU1038,Essential Leggings & Bottoms,4,749,0.39,2996,1168.44,1827.56,0.05,91.38,1918.94,315,1260,567.56,Debit Card
ORD202301103,01-04-2023,Sale,CUST01817,Online,Bengaluru,South,Accessories,Watches,SKU1083,Urban Watches,2,4999,0.09,9998,899.82,9098.18,0.18,1637.67,10735.85,2901,5802,3296.18,UPI
ORD202401998,05-07-2024,Sale,CUST01497,Online,Lucknow,North,Accessories,Caps & Scarves,SKU1086,Essential Caps & Scarves,1,1049,0.4,1049,419.6,629.4,0.05,31.47,660.87,412,412,217.4,UPI
ORD202400429,28-06-2024,Sale,CUST00537,Online,Lucknow,North,Womenswear,Leggings & Bottoms,SKU1039,Festive Leggings & Bottoms,3,599,0,1797,0,1797,0.05,89.85,1886.85,274,822,975,UPI
ORD202401963,22-03-2024,Sale,CUST00185,Store,Gurugram,North,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,2,2349,0,4698,0,4698,0.12,563.76,5261.76,1271,2542,2156,UPI
ORD202301759,15-11-2023,Sale,CUST01998,Store,Gurugram,North,Accessories,Caps & Scarves,SKU1087,Classic Caps & Scarves,1,449,0,449,0,449,0.05,22.45,471.45,161,161,288,UPI
ORD202500204,11-06-2025,Sale,CUST01044,Store,Jaipur,North,Womenswear,Sarees,SKU1027,Essential Sarees,2,5699,0,11398,0,11398,0.12,1367.76,12765.76,3417,6834,4564,Debit Card
RET202300096,02-11-2023,Return,CUST01517,Online,Bengaluru,South,Footwear,Sports Shoes,SKU1069,Signature Sports Shoes,-1,2199,0.35,-2199,-769.65,-1429.35,0.12,-171.52,-1600.87,1380,-1380,-49.35,Debit Card
ORD202400090,05-05-2024,Sale,CUST01516,Online,Ahmedabad,West,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,2,1149,0.27,2298,620.46,1677.54,0.05,83.88,1761.42,611,1222,455.54,Debit Card
ORD202501612,07-04-2025,Sale,CUST01953,Store,Bengaluru,South,Menswear,Shirts,SKU1001,Signature Shirts,2,2149,0.18,4298,773.64,3524.36,0.12,422.92,3947.28,1180,2360,1164.36,UPI
ORD202501463,30-03-2025,Sale,CUST01862,Store,Delhi,North,Womenswear,Leggings & Bottoms,SKU1036,Premium Leggings & Bottoms,2,749,0.16,1498,239.68,1258.32,0.05,62.92,1321.24,320,640,618.32,UPI
ORD202401326,09-09-2024,Sale,CUST01369,Store,Hyderabad,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,1,1049,0,1049,0,1049,0.12,125.88,1174.88,601,601,448,UPI
ORD202301698,21-02-2023,Sale,CUST00363,Online,Bengaluru,South,Accessories,Belts & Wallets,SKU1074,Heritage Belts & Wallets,1,1149,0,1149,0,1149,0.12,137.88,1286.88,530,530,619,Credit Card
ORD202502106,05-05-2025,Sale,CUST01687,Store,Hyderabad,South,Menswear,Shirts,SKU1003,Festive Shirts,2,1399,0,2798,0,2798,0.12,335.76,3133.76,697,1394,1404,UPI
ORD202300738,03-04-2023,Sale,CUST00157,Online,Delhi,North,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,2,1649,0.22,3298,725.56,2572.44,0.12,308.69,2881.13,1013,2026,546.44,Credit Card
ORD202502074,30-12-2025,Sale,CUST00406,Online,Chennai,South,Menswear,Jeans & Trousers,SKU1012,Urban Jeans & Trousers,1,1299,0,1299,0,1299,0.12,155.88,1454.88,698,698,601,Cash
ORD202501652,14-08-2025,Sale,CUST01836,Online,Chennai,South,Footwear,Sports Shoes,SKU1066,Premium Sports Shoes,2,3949,0.29,7898,2290.42,5607.58,0.12,672.91,6280.49,2232,4464,1143.58,Credit Card
ORD202501048,09-12-2025,Sale,CUST02087,Online,Mumbai,West,Accessories,Watches,SKU1083,Urban Watches,1,4999,0.27,4999,1349.73,3649.27,0.18,656.87,4306.14,2901,2901,748.27,Net Banking
ORD202401862,16-10-2024,Sale,CUST00460,Store,Coimbatore,South,Accessories,Watches,SKU1085,Premium Watches,1,5349,0.15,5349,802.35,4546.65,0.18,818.4,5365.05,3361,3361,1185.65,Debit Card
ORD202501130,20-04-2025,Sale,CUST01454,Store,Coimbatore,South,Foot Wear,Sports Shoes,SKU1070,Heritage Sports Shoes,2,4399,0.09,8798,791.82,8006.18,0.12,960.74,8966.92,2640,5280,2726.18,UPI
ORD202300626,04-01-2023,Sale,CUST00855,Online,Chennai,South,Womenswear,Sarees,SKU1026,Festive Sarees,2,4949,0.4,9898,3959.2,5938.8,0.12,712.66,6651.46,2888,5776,162.8,UPI
ORD202401291,18-05-2024,Sale,CUST02184,Store,Coimbatore,South,Menswear,Jeans & Trousers,SKU1014,Signature Jeans & Trousers,1,1949,0.1,1949,194.9,1754.1,0.12,210.49,1964.59,1130,1130,624.1,UPI
ORD202501011,03-04-2025,Sale,CUST02047,Store,Kochi,South,Womenswear,Dresses & Tops,SKU1033,Essential Dresses & Tops,4,1299,0.15,5196,779.4,4416.6,0.12,529.99,4946.59,599,2396,2020.6,COD
ORD202300062,02-09-2023,Sale,CUST01365,Online,Chennai,South,Footwear,Sports Shoes,SKU1066,Premium Sports Shoes,2,3949,0.1,7898,789.8,7108.2,0.12,852.98,7961.18,2232,4464,2644.2,Debit Card
ORD202301871,11-04-2023,Sale,CUST01181,Online,Kochi,South,Womenswear,Leggings & Bottoms,SKU1039,Festive Leggings & Bottoms,1,599,0,599,0,599,0.05,29.95,628.95,274,274,325,COD
ORD202500097,10-06-2025,Sale,CUST02490,Store,Mysuru,South,Menswear,Shirts,SKU1005,Heritage Shirts,1,1949,0.21,1949,409.29,1539.71,0.12,184.77,1724.48,989,989,550.71,COD
ORD202500093,29-11-2025,Sale,CUST00174,Store,Delhi,North,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,1,1149,0.19,1149,218.31,930.69,0.05,46.53,977.22,611,611,319.69,UPI
ORD202501159,28-02-2025,Sale,CUST00443,Store,Chennai,South,Kidswear,Kids Ethnic,SKU1052,Signature Kids Ethnic,1,699,0,699,0,699,0.05,34.95,733.95,365,365,334,UPI
ORD202400120,11-10-2024,Sale,CUST01764,Online,Jaipur,North,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,1,1649,0.28,1649,461.72,1187.28,0.12,142.47,1329.75,1013,1013,174.28,Credit Card
ORD202300365,21-12-2023,Sale,CUST01704,Store,Kochi,South,Womenswear,Sarees,SKU1029,Classic Sarees,1,1899,0.14,1899,265.86,1633.14,0.12,195.98,1829.12,956,956,677.14,Debit Card
ORD202301044,27-06-2023,Sale,CUST00998,Online,Jaipur,North,Menswear,Jeans & Trousers,SKU1012,Urban Jeans & Trousers,1,1299,0.27,1299,350.73,948.27,0.05,47.41,995.68,698,698,250.27,COD
ORD202501532,06-06-2025,Sale,CUST00985,Online,Bengaluru,South,Menswear,Mens Kurtas,SKU1017,Premium Mens Kurtas,1,999,0,999,0,999,0.05,49.95,1048.95,421,421,578,UPI
ORD202500545,30-11-2025,Sale,CUST01014,Store,Delhi,North,Menswear,T-Shirts,SKU1009,Classic T-Shirts,2,499,0.19,998,189.62,808.38,0.05,40.42,848.8,228,456,352.38,Credit Card
ORD202501420,28-09-2025,Sale,CUST01815,Online,Bengaluru,South,Footwear,Sandals & Flats,SKU1061,Everyday Sandals & Flats,4,1749,0.12,6996,839.52,6156.48,0.12,738.78,6895.26,1026,4104,2052.48,UPI
ORD202401462,06-01-2024,Sale,CUST02423,Online,Kochi,South,Kidswear,Kids Bottoms,SKU1050,Festive Kids Bottoms,1,799,0.42,799,335.58,463.42,0.05,23.17,486.59,393,393,70.42,UPI
ORD202502109,04-01-2025,Sale,CUST00439,Store,Mumbai,West,Menswear,T-Shirts,SKU1007,Essential T-Shirts,1,649,0.32,649,207.68,441.32,0.05,22.07,463.39,335,335,106.32,Debit Card
ORD202300902,04-11-2023,Sale,CUST01069,Online,Kolkata,East,Menswear,Shirts,SKU1001,Signature Shirts,2,2149,0.24,4298,1031.52,3266.48,0.12,391.98,3658.46,1180,2360,906.48,Debit Card
ORD202301294,03-09-2023,Sale,CUST00663,Online,Kochi,South,Accessories,Watches,SKU1081,Everyday Watches,1,4949,0.14,4949,692.86,4256.14,0.18,766.11,5022.25,2733,2733,1523.14,UPI
ORD202500003,25-01-2025,Sale,CUST02334,Store,Hyderabad,South,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,2,1149,0.3,2298,689.4,1608.6,0.05,80.43,1689.03,611,1222,386.6,Credit Card
ORD202401908,26-05-2024,Sale,CUST01244,Online,Chennai,South,Menswear,Shirts,SKU1001,Signature Shirts,1,2149,0.11,2149,236.39,1912.61,0.12,229.51,2142.12,1180,1180,732.61,Cash
ORD202401546,14-11-2024,Sale,CUST00837,Store,Delhi,North,Menswear,Jeans & Trousers,SKU1014,Signature Jeans & Trousers,1,1949,0.24,1949,467.76,1481.24,0.12,177.75,1658.99,1130,1130,351.24,UPI
ORD202401408,21-04-2024,Sale,CUST01449,Store,Bengaluru,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,1,1049,0,1049,0,1049,0.12,125.88,1174.88,601,601,448,UPI
ORD202400712,06-10-2024,Sale,CUST01557,Store,Delhi,North,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,4,2349,0.13,9396,1221.48,8174.52,0.12,980.94,9155.46,1271,5084,3090.52,COD
ORD202300163,09-09-2023,Sale,CUST00255,Online,Jaipur,North,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,1,1649,0.14,1649,230.86,1418.14,0.12,170.18,1588.32,1013,1013,405.14,UPI
ORD202301220,13-02-2023,Sale,CUST00320,Store,Chennai,South,Kidswear,Kids Ethnic,SKU1052,Signature Kids Ethnic,2,699,0.19,1398,265.62,1132.38,0.05,56.62,1189,365,730,402.38,UPI
ORD202300268,04-02-2023,Sale,CUST01720,Online,Hyderabad,South,Menswear,Jeans & Trousers,SKU1015,Heritage Jeans & Trousers,2,2549,0.21,5098,1070.58,4027.42,0.12,483.29,4510.71,1319,2638,1389.42,UPI
ORD202501508,30-06-2025,Sale,CUST00730,Store,Bengaluru,South,Accessories,Caps & Scarves,SKU1088,Premium Caps & Scarves,1,949,0,949,0,949,0.05,47.45,996.45,428,428,521,Credit Card
ORD202300065,01-05-2023,Sale,CUST01883,Store,Jaipur,North,Accessories,Watches,SKU1083,Urban Watches,2,4999,0,9998,0,9998,0.18,1799.64,11797.64,2901,5802,4196,UPI
ORD202300803,04-04-2023,Sale,CUST01770,Store,Mumbai,West,Footwear,Sandals & Flats,SKU1061,Everyday Sandals & Flats,2,1749,0.09,3498,314.82,3183.18,0.12,381.98,3565.16,1026,2052,1131.18,UPI
ORD202501088,02-02-2025,Sale,CUST00230,Online,Bengaluru,South,Accessory,Belts & Wallets,SKU1075,Classic Belts & Wallets,1,449,0,449,0,449,0.05,22.45,471.45,165,165,284,Credit Card
ORD202400251,22-01-2024,Sale,CUST00434,Store,Bengaluru,South,Womenswear,Dresses & Tops,SKU1034,Premium Dresses & Tops,2,799,0.31,1598,495.38,1102.62,0.05,55.13,1157.75,459,918,184.62,COD
ORD202300038,21-09-2023,Sale,CUST00034,Online,Mumbai,West,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,2,2349,0.15,4698,704.7,3993.3,0.12,479.2,4472.5,1271,2542,1451.3,UPI
ORD202401840,30-06-2024,Sale,CUST02336,Store,Ahmedabad,West,Womenswear,Sarees,SKU1026,Festive Sarees,1,4949,0,4949,0,4949,0.12,593.88,5542.88,2888,2888,2061,UPI
ORD202502061,17-09-2025,Sale,CUST02012,Store,Bengaluru,South,Kidswear,Kids Tops,SKU1042,Classic Kids Tops,3,599,0,1797,0,1797,0.05,89.85,1886.85,255,765,1032,Debit Card
ORD202301334,06-10-2023,Sale,CUST00816,Online,Mumbai,West,Kidswear,Kids Bottoms,SKU1050,Festive Kids Bottoms,2,799,0,1598,0,1598,0.05,79.9,1677.9,393,786,812,UPI
ORD202501471,04-12-2025,Sale,CUST01165,Store,Delhi,North,Footwear,Sports Shoes,SKU1066,Premium Sports Shoes,1,3949,0.26,3949,1026.74,2922.26,0.12,350.67,3272.93,2232,2232,690.26,UPI
ORD202301823,20-07-2023,Sale,CUST01895,Online,Chennai,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,2,1049,0.36,2098,755.28,1342.72,0.05,67.14,1409.86,601,1202,140.72,Debit Card
ORD202500998,10-07-2025,Sale,CUST01398,Store,Chennai,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,2,1049,0.34,2098,713.32,1384.68,0.05,69.23,1453.91,601,1202,182.68,COD
ORD202500311,16-07-2025,Sale,CUST01583,Store,Delhi,North,Accessories,Handbags,SKU1078,Essential Handbags,2,649,0.25,1298,324.5,973.5,0.05,48.68,1022.18,339,678,295.5,COD
ORD202500346,26-11-2025,Sale,CUST01528,Online,Kochi,South,Kidswear,Kids Bottoms,SKU1046,Essential Kids Bottoms,1,349,0.27,349,94.23,254.77,0.05,12.74,267.51,190,190,64.77,Debit Card
ORD202502020,27-07-2025,Sale,CUST02376,Online,Bhubaneswar,East,Womenswear,Leggings & Bottoms,SKU1036,Premium Leggings & Bottoms,1,749,0.4,749,299.6,449.4,0.05,22.47,471.87,320,320,129.4,UPI
ORD202401527,18-03-2024,Sale,CUST02109,Online,Chennai,South,Womenswear,Sarees,SKU1027,Essential Sarees,1,5699,0,5699,0,5699,0.12,683.88,6382.88,3417,3417,2282,UPI
ORD202500677,20-02-2025,Sale,CUST01124,Store,Mysuru,South,Footwear,Casual Shoes,SKU1056,Premium Casual Shoes,2,2299,0.07,4598,321.86,4276.14,0.12,513.14,4789.28,1252,2504,1772.14,UPI
ORD202301737,29-10-2023,Sale,CUST01464,Store,Bengaluru,South,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,1,2349,0.23,2349,540.27,1808.73,0.12,217.05,2025.78,1271,1271,537.73,Net Banking
ORD202401530,25-10-2024,Sale,CUST00973,Online,Coimbatore,South,Accessories,Handbags,SKU1077,Festive Handbags,1,1449,0.28,1449,405.72,1043.28,0.12,125.19,1168.47,826,826,217.28,Cash
ORD202501244,06-12-2025,Sale,CUST00329,Store,Hyderabad,South,Menswear,Mens Kurtas,SKU1016,Urban Mens Kurtas,2,1899,0.05,3798,189.9,3608.1,0.12,432.97,4041.07,832,1664,1944.1,Debit Card
ORD202300929,12-04-2023,Sale,CUST00415,Store,Delhi,North,Womenswear,Dresses & Tops,SKU1033,Essential Dresses & Tops,1,1299,0.14,1299,181.86,1117.14,0.12,134.06,1251.2,599,599,518.14,UPI
ORD202300030,04-11-2023,Sale,CUST01581,Store,Bengaluru,South,Womenswear,Dresses & Tops,SKU1035,Festive Dresses & Tops,1,2349,0.2,2349,469.8,1879.2,0.12,225.5,2104.7,1271,1271,608.2,UPI
ORD202500468,24-01-2025,Sale,CUST01088,Online,Delhi,North,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,1,1649,0.5,1649,824.5,824.5,0.05,41.23,865.73,1013,1013,-188.5,UPI
ORD202301333,18-10-2023,Sale,CUST01683,Store,Gurugram,North,Accessories,Belts & Wallets,SKU1071,Urban Belts & Wallets,3,449,0.16,1347,215.52,1131.48,0.05,56.57,1188.05,191,573,558.48,COD
ORD202300899,28-08-2023,Sale,CUST00287,Store,Chennai,South,Kidswear,Kids Tops,SKU1041,Heritage Kids Tops,1,749,0.24,749,179.76,569.24,0.05,28.46,597.7,322,322,247.24,UPI
ORD202401418,02-11-2024,Sale,CUST00663,Online,Kochi,South,Womenswear,Leggings & Bottoms,SKU1037,Heritage Leggings & Bottoms,1,449,0.25,449,112.25,336.75,0.05,16.84,353.59,220,220,116.75,UPI
ORD202500687,26-04-2025,Sale,CUST00141,Online,Bengaluru,South,Footwear,Sandals & Flats,SKU1062,Classic Sandals & Flats,1,1999,0,1999,0,1999,0.12,239.88,2238.88,1084,1084,915,COD
ORD202401354,28-06-2024,Sale,CUST02133,Store,Coimbatore,South,Menswear,Mens Kurtas,SKU1017,Premium Mens Kurtas,1,999,0.12,999,119.88,879.12,0.05,43.96,923.08,421,421,458.12,UPI
ORD202401122,02-08-2024,Sale,CUST01079,Store,Gurugram,North,Accessories,Watches,SKU1085,Premium Watches,1,5349,0.17,5349,909.33,4439.67,0.18,799.14,5238.81,3361,3361,1078.67,UPI
ORD202401781,17-01-2024,Sale,CUST01123,Online,Mumbai,West,Womenswear,Kurtis,SKU1024,Premium Kurtis,2,1249,0.39,2498,974.22,1523.78,0.05,76.19,1599.97,559,1118,405.78,UPI
ORD202500980,15-02-2025,Sale,CUST00070,Store,Hyderabad,South,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,1,1149,0.05,1149,57.45,1091.55,0.12,130.99,1222.54,611,611,480.55,Credit Card
ORD202401300,09-04-2024,Sale,CUST01089,Store,,South,Menswear,Jeans & Trousers,SKU1015,Heritage Jeans & Trousers,2,2549,0.1,5098,509.8,4588.2,0.12,550.58,5138.78,1319,2638,1950.2,UPI
ORD202301202,05-04-2023,Sale,CUST01560,Store,Chennai,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,1,1049,0,1049,0,1049,0.12,125.88,1174.88,601,601,448,Credit Card
ORD202301396,23-07-2023,Sale,CUST00775,Online,Pune,West,Footwear,Sandals & Flats,SKU1062,Classic Sandals & Flats,3,1999,0.38,5997,2278.86,3718.14,0.12,446.18,4164.32,1084,3252,466.14,COD
ORD202400736,17-07-2024,Sale,CUST01157,Store,Gurugram,North,womenswear,Leggings & Bottoms,SKU1039,Festive Leggings & Bottoms,1,599,0.35,599,209.65,389.35,0.05,19.47,408.82,274,274,115.35,UPI
ORD202401317,07-06-2024,Sale,CUST02163,Store,Kolkata,East,Menswear,Mens Kurtas,SKU1017,Premium Mens Kurtas,1,999,0.1,999,99.9,899.1,0.05,44.96,944.06,421,421,478.1,Cash
RET202300270,12-11-2023,Return,CUST01124,Online,Mysuru,South,Womenswear,Dresses & Tops,SKU1033,Essential Dresses & Tops,-2,1299,0.14,-2598,-363.72,-2234.28,0.12,-268.11,-2502.39,599,-1198,-1036.28,COD
ORD202301536,13-09-2023,Sale,CUST00522,Store,Delhi,North,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,1,1049,0,1049,0,1049,0.12,125.88,1174.88,601,601,448,Cash
ORD202401058,15-10-2024,Sale,CUST01634,Store,Bengaluru,South,Kidswear,Kids Bottoms,SKU1046,Essential Kids Bottoms,1,349,0,349,0,349,0.05,17.45,366.45,190,190,159,Credit Card
ORD202301812,17-02-2023,Sale,CUST00984,Online,Bengaluru,South,Accessories,Handbags,SKU1076,Classic Handbags,1,2499,0.27,2499,674.73,1824.27,0.12,218.91,2043.18,1435,1435,389.27,Cash
ORD202300261,27-03-2023,Sale,CUST01783,Store,Chennai,South,Womenswear,Sarees,SKU1026,Festive Sarees,1,4949,0.09,4949,445.41,4503.59,0.12,540.43,5044.02,2888,2888,1615.59,UPI
ORD202500943,08-02-2025,Sale,CUST00604,Store,Hyderabad,South,Mens Wear,Jeans & Trousers,SKU1013,Essential Jeans & Trousers,1,1499,0.01,1499,14.99,1484.01,0.12,178.08,1662.09,840,840,644.01,Credit Card
ORD202300755,17-12-2023,Sale,CUST01314,Online,Chennai,South,Womenswear,Dresses & Tops,SKU1031,Everyday Dresses & Tops,1,1449,0.31,1449,449.19,999.81,0.05,49.99,1049.8,724,724,275.81,Cash
ORD202401861,09-01-2024,Sale,CUST00342,Store,Bengaluru,South,Kidswear,Kids Tops,SKU1045,Essential Kids Tops,2,699,0.42,1398,587.16,810.84,0.05,40.54,851.38,308,616,194.84,Cash
ORD202502281,01-07-2025,Sale,CUST02149,Store,Chennai,South,Kidswear,Kids Tops,SKU1045,Essential Kids Tops,1,699,0.37,699,258.63,440.37,0.05,22.02,462.39,308,308,132.37,UPI
ORD202301288,01-10-2023,Sale,CUST00209,Store,Gurugram,North,Menswear,Mens Kurtas,SKU1017,Premium Mens Kurtas,2,999,0,1998,0,1998,0.05,99.9,2097.9,421,842,1156,UPI
ORD202500132,02-12-2025,Sale,CUST01369,Store,Gurugram,North,Accessories,Watches,SKU1082,Classic Watches,1,1699,0,1699,0,1699,0.18,305.82,2004.82,1118,1118,581,Credit Card
ORD202401764,19-11-2024,Sale,CUST01348,Store,Pune,West,Kidswear,Kids Ethnic,SKU1051,Everyday Kids Ethnic,1,1549,0,1549,0,1549,0.12,185.88,1734.88,878,878,671,UPI
ORD202500433,17-07-2025,Sale,CUST00647,Store,Ahmedabad,West,Womenswear,Kurtis,SKU1022,Signature Kurtis,1,1449,0.25,1449,362.25,1086.75,0.12,130.41,1217.16,714,714,372.75,COD
ORD202501690,24-09-2025,Sale,CUST02135,Online,Chennai,South,Accessories,Belts & Wallets,SKU1071,Urban Belts & Wallets,1,449,0,449,0,449,0.05,22.45,471.45,191,191,258,Net Banking
RET202500258,05-10-2025,Return,CUST02046,Online,Jaipur,North,Accessories,Belts & Wallets,SKU1072,Festive Belts & Wallets,-1,1149,0.25,-1149,-287.25,-861.75,0.05,-43.09,-904.84,502,-502,-359.75,Credit Card
ORD202300574,02-04-2023,Sale,CUST02500,Online,Kolkata,East,Womenswear,Sarees,SKU1030,Heritage Sarees,2,1449,0,2898,0,2898,0.12,347.76,3245.76,882,1764,1134,UPI
ORD202500409,09-03-2025,Sale,CUST00592,Store,Chennai,South,womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,1,1149,0.07,1149,80.43,1068.57,0.12,128.23,1196.8,611,611,457.57,UPI
ORD202400312,30-05-2024,Sale,CUST00841,Store,Hyderabad,South,Footwear,Sandals & Flats,SKU1062,Classic Sandals & Flats,1,1999,0.15,1999,299.85,1699.15,0.12,203.9,1903.05,1084,1084,615.15,UPI
ORD202501804,13-01-2025,Sale,CUST02389,Store,Jaipur,North,Menswear,T-Shirts,SKU1007,Essential T-Shirts,1,649,0.41,649,266.09,382.91,0.05,19.15,402.06,335,335,47.91,Cash
ORD202300924,03-11-2023,Sale,CUST01183,Store,Kolkata,East,Kidswear,Kids Ethnic,SKU1053,Premium Kids Ethnic,1,649,0.14,649,90.86,558.14,0.05,27.91,586.05,349,349,209.14,UPI
ORD202300490,14-03-2023,Sale,CUST02265,Store,Mumbai,West,Kidswear,Kids Bottoms,SKU1050,Festive Kids Bottoms,2,799,0.04,1598,63.92,1534.08,0.05,76.7,1610.78,393,786,748.08,Cash
ORD202300522,18-09-2023,Sale,CUST01058,Store,Bengaluru,South,Womenswear,Dresses & Tops,SKU1032,Heritage Dresses & Tops,1,1149,0,1149,0,1149,0.12,137.88,1286.88,611,611,538,UPI
ORD202300483,25-02-2023,Sale,CUST02476,Store,Kochi,South,Footwear,Casual Shoes,SKU1060,Heritage Casual Shoes,1,1499,0.02,1499,29.98,1469.02,0.12,176.28,1645.3,918,918,551.02,UPI
ORD202301465,05-06-2023,Sale,CUST00056,Store,Bhubaneswar,East,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,1,1649,0.2,1649,329.8,1319.2,0.12,158.3,1477.5,1013,1013,306.2,COD
ORD202400866,06-04-2024,Sale,CUST00015,Store,Mumbai,West,Womenswear,Kurtis,SKU1023,Everyday Kurtis,2,999,0.01,1998,19.98,1978.02,0.05,98.9,2076.92,424,848,1130.02,Cash
ORD202401150,22-05-2024,Sale,CUST01851,Online,Ahmedabad,West,Mens Wear,Jeans & Trousers,SKU1012,Urban Jeans & Trousers,1,1299,0.14,1299,181.86,1117.14,0.12,134.06,1251.2,698,698,419.14,Net Banking
ORD202501334,20-10-2025,Sale,CUST00338,Online,Delhi,North,Footwear,Sports Shoes,SKU1069,Signature Sports Shoes,1,2199,0.31,2199,681.69,1517.31,0.12,182.08,1699.39,1380,1380,137.31,Cash
ORD202301636,08-04-2023,Sale,CUST01431,Store,Bengaluru,South,Footwear,Casual Shoes,SKU1058,Everyday Casual Shoes,1,1649,0.13,1649,214.37,1434.63,0.12,172.16,1606.79,1013,1013,421.63,COD
